,artno,country,url,headline,risk_scale,risk2,risk_explicit,risk_consensus,risk_precision,cancer_type,researchrelated
,691,singapore,https://www.straitstimes.com/singapore/diabetes-and-obesity-are-hidden-cancer-causes-study,Diabetes and obesity are hidden cancer causes: Study,9,8,obesity,obesity,,general,1
,692,singapore,http://theindependent.sg/doctors-welcome-free-cervical-cancer-vaccine-for-sec-1-girls-nationwide-starting-in-april/,Doctors welcome free cervical cancer vaccine for Sec 1 girls nationwide starting in April,2,2,cervical cancer vaccine,HPV vaccine,,cervical cancer,0
,693,singapore,http://theindependent.sg/drinking-bottled-water-left-in-the-car-increases-risk-of-breast-cancer/,Drinking bottled water left in the car increases risk of breast cancer,9,8,water left in the car,heated plastic bottles,,breast cancer,1
,694,singapore,https://www.straitstimes.com/world/europe/eating-overcooked-starchy-foods-raises-cancer-risk,Eating overcooked starchy foods raises cancer risk,9,8,overcooked starchy foods,burning or grilling food,,general,0
,696,singapore,https://www.straitstimes.com/world/europe/europes-safety-watchdog-says-laxatives-may-increase-cancer-risk,Europe's safety watchdog says laxatives may increase cancer risk,8,7,laxatives,laxatives,,general,0
,697,singapore,https://www.straitstimes.com/lifestyle/even-moderate-intake-of-red-meat-raises-cancer-risk-british-study-finds,"Even moderate intake of red meat raises cancer risk, British study finds",10,9,red meat,red and processed meats,,general,1
,698,singapore,https://www.todayonline.com/singapore/explainer-link-between-hpv-and-cervical-cancer,Explainer: The link between HPV and cervical cancer,9,8,HPV,HPV,,cervical cancer,0
,699,singapore,https://www.straitstimes.com/singapore/health/faster-test-for-cancer-causing-virus,Faster test for cancer-causing virus,9,8,virus,HPV,,general,1
,700,singapore,https://www.straitstimes.com/lifestyle/fruit-juice-linked-to-higher-cancer-risk,Fruit juice linked to higher cancer risk,9,8,fruit juice,sugary and fruit drinks,,general,1
,701,singapore,https://www.straitstimes.com/world/europe/glaxosmithkline-recalls-popular-heartburn-drug-zantac-globally-after-cancer-scare,GlaxoSmithKline recalls popular heartburn drug Zantac globally after cancer scare,9,8,Zantac,contaminated heart drugs,,general,0
,702,singapore,https://www.straitstimes.com/singapore/weed-killer-allegedly-linked-to-cancer-dropped-from-list-on-nparks-website,Guide listing weed killer allegedly linked to cancer removed from NParks website,5,5,weed killer,glyphosate from Roundup,,general,0
,703,singapore,https://www.straitstimes.com/lifestyle/hard-to-prove-eating-organic-food-lowers-cancer-risk,Hard to prove eating organic food lowers cancer risk,4.5,,organic food,vegetables and fruits,,general,1
,704,singapore,https://www.straitstimes.com/singapore/health/harmless-gut-organism-may-be-linked-to-colon-cancer-nus-researchers,Harmless' gut organism may be linked to colon cancer: NUS researchers,8,7,harmless gut organism,gut bacteria,,colon cancer,1
,705,singapore,https://www.straitstimes.com/singapore/health/higher-risk-of-thyroid-lumps-leading-to-cancer,Higher risk of thyroid lumps leading to cancer,9,8,thyroid lumps,thyroid lumps,,general,1
,706,singapore,https://www.straitstimes.com/world/europe/hormone-therapies-slightly-increase-breast-cancer-risk-even-a-decade-later-study,"Hormone therapies slightly increase breast cancer risk, even a decade later: Study",8,7,hormone therapies,HRT and contraception drugs,,breast cancer,1
,707,singapore,https://www.straitstimes.com/lifestyle/how-to-lower-the-cancer-risk-of-grilling,How to lower the cancer risk of grilling,9,8,grilling,burning or grilling food,,general,0
,708,singapore,https://www.todayonline.com/singapore/hsa-recalls-3-brands-high-blood-pressure-drug-over-cancer-risk,HSA recalls 3 brands of high blood pressure drug over cancer risk,9,8,high blood pressure drug,contaminated heart drugs,,general,0
,709,singapore,https://www.straitstimes.com/singapore/health/hsa-warns-of-textured-breast-implants-link-to-cancer,HSA warns of textured breast implants' link to cancer,9,8,textured breast implants,textured breast implants,,general,0
,710,singapore,https://www.todayonline.com/world/new-headache-wework-says-it-found-cancer-causing-chemical-its-phone-booths,"In new headache, WeWork says it found cancer-causing chemical in its phone booths",9,8,chemical,formaldehyde from phone booths,,general,0
,711,singapore,https://www.todayonline.com/world/pancreas-common-fungi-may-drive-cancer,"In the pancreas, a common fungi may drive cancer",8,7,common fungi,Malassezia,,general,1
,712,singapore,https://www.straitstimes.com/singapore/health/inflammatory-bowel-disease-which-increases-risk-of-colon-cancer-is-on-the-rise,"Inflammatory bowel disease, which increases risk of colon cancer, is on the rise",9,8,inflammatory bowel disease,inflammatory bowel disease,,general,1
,713,singapore,https://www.straitstimes.com/world/europe/italian-court-rules-mobile-phone-caused-tumour,Italian court rules mobile phone caused tumour,9,8,mobile phone,cellphones,,general,0
,714,singapore,https://www.businessinsider.sg/low-fat-diets-risk-dying-of-breast-cancer-2019-5/,Low-fat diets could lower the risk of dying of breast cancer. That may be bad news for keto fans,3,3,low-fat diets,low-fat diet,,breast cancer,1
,715,singapore,https://www.todayonline.com/daily-focus/lung-cancer-doesnt-only-affect-men-or-heavy-smokers,Lung cancer doesn’t only affect men or heavy smokers,9,8,heavy smokers,smoking,men,lung  cancer,1
,716,singapore,https://www.businessinsider.sg/marcia-cross-how-to-prevent-hpv-anal-cancers-2019-11/,Marcia Cross’ anal cancer may have been linked to HPV. She wants people to know they could have the virus too,8,7,HPV,HPV,,anal cancer,0
,717,singapore,https://www.straitstimes.com/lifestyle/matcha-does-not-protect-against-cancer,Matcha does not protect against cancer,4.5,,matcha,matcha,,general,1
,718,singapore,https://www.straitstimes.com/world/europe/menopause-hormone-therapy-raises-breast-cancer-risk-study,Menopause hormone therapy raises breast cancer risk: Study,9,8,menopause hormone therapy,HRT and contraception drugs,,breast cancer,1
,719,singapore,https://www.straitstimes.com/world/united-states/mint-menthol-e-cigarette-liquids-high-in-cancer-causing-compound-study,"Mint, menthol e-cigarette liquids high in cancer-causing compound: Study",9,8,"mint, menthol e-cigarette liquids compound",e-cigarettes and vaping,,general,1
,720,singapore,https://www.todayonline.com/voices/more-protection-needed-against-cancer-causing-cigarette-smoke,More protection needed against cancer-causing cigarette smoke,9,8,cigarette smoke,smoking,,general,1
,721,singapore,https://www.straitstimes.com/world/united-states/new-cancer-causing-toxin-found-in-recalled-blood-pressure-pills,New cancer-causing toxin found in recalled blood pressure pills,9,8,blood pressure pills,contaminated heart drugs,,general,0
,722,singapore,https://www.tnp.sg/lifestyle/health/parental-smoking-linked-childrens-cancer,Parental smoking linked to children's cancer,9,8,parental smoking,smoking,,general,1
,723,singapore,https://www.businessinsider.sg/processed-food-makes-us-fat-leads-to-cancer-alternatives-2019-5/,Processed foods make us fatter and are linked to a higher risk of cancer. Here’s what science suggests we should eat instead,9,8,processed foods,processed foods,,general,1
,724,singapore,https://www.businessinsider.sg/what-is-processed-food-2019-5/,"Processed foods make us fatter, lead to cancer, and are linked with early death. But what exactly is a processed food?",9,8,processed foods,processed foods,,general,1
,725,singapore,https://www.straitstimes.com/singapore/scientists-find-virus-strains-linked-to-cantonese-cancer,Scientists find virus strains linked to 'Cantonese cancer',9,8,virus strains,EBV,,general,1
,726,singapore,https://www.straitstimes.com/singapore/health/singapore-researchers-make-advances-in-cancer-linked-genomics,Singapore researchers make advances in cancer-linked genomics,9,8,genomics,genetic variants and mutations,,general,1
,727,singapore,https://www.businessinsider.sg/singapore-scientists-discover-virus-strain-linked-to-a-type-of-cancer-cantonese-speakers-are-20-times-more-likely-to-get/,Singapore scientists discover virus strain linked to a type of cancer Cantonese speakers are 20 times more likely to get,9,8,virus strain,EBV,,general,1
,728,singapore,https://www.straitstimes.com/forum/letters-on-the-web/smoking-is-biggest-risk-factor-for-lung-cancer,Smoking is biggest risk factor for lung cancer,10,9,smoking,smoking,,lung cancer,1
,729,singapore,https://www.todayonline.com/world/study-finds-possible-link-between-sugary-drinks-and-cancer,Study finds possible link between sugary drinks and cancer,8,7,sugary drinks,sugary and fruit drinks,,general,1
,730,singapore,https://www.straitstimes.com/world/europe/study-shows-how-alcohol-may-cause-cancer,Study shows how alcohol may cause cancer,9,8,alcohol,alcohol,,general,1
,731,singapore,https://www.straitstimes.com/world/europe/study-suggests-link-between-ultra-processed-foods-and-cancer,Study suggests link between ultra-processed foods and cancer,9,8,ultra-processed food,processed foods,,general,1
,732,singapore,https://www.tnp.sg/lifestyle/health/study-liver-cancer-linked-traditional-chinese-medicine,Study: Liver cancer linked to traditional Chinese medicine,9,8,traditional Chinese medicine,Aristolochia plants,,liver cancer,1
,733,singapore,https://www.tnp.sg/lifestyle/health/eating-salted-veggies-linked-cancer,Study: Salted vegetables increase risk of nose cancer,9,8,salted vegetables,salted vegetables,,nose cancer,1
,734,singapore,https://www.straitstimes.com/world/europe/sugary-drinks-linked-to-higher-cancer-risk-study,Sugary drinks linked to higher cancer risk: Study,9,8,sugary drinks,sugary and fruit drinks,,general,1
,735,singapore,https://www.straitstimes.com/singapore/technician-sues-psa-over-lung-cancer,Technician sues PSA over lung cancer caused by alleged asbestos exposure,8,7,asbestos,asbestos,,general,0
,736,singapore,https://www.straitstimes.com/singapore/health/textured-breast-implants-linked-to-cancer-health-sciences-authority,"Textured breast implants linked to cancer, one reported case here so far: HSA",9,8,textured breast implants,textured breast implants,,general,0
,737,singapore,https://www.businessinsider.sg/acrylamide-in-coffee-does-it-cause-cancer-2018-3/,There’s a chemical in coffee that may cause cancer — here’s how worried you should be,8,7,chemical in coffee,coffee,,general,0
,738,singapore,https://www.businessinsider.sg/cancer-risk-coffee-acrylamide-2019-2/,"There’s a chemical in coffee that may cause cancer, but researchers have found a way to reduce your risk",8,7,chemical in coffee,coffee,,general,0
,739,singapore,https://www.businessinsider.sg/do-airpods-cause-cancer-2019-3/,"There’s a rumor that AirPods and other wireless headphones cause cancer, but the truth is more complicated",7,6,AirPods,wireless headphones,,general,0
,740,singapore,https://www.straitstimes.com/world/europe/turkey-doctor-gets-15-months-prison-for-revealing-pollution-cancer-risk,Turkey doctor gets 15 months' jail for revealing pollution cancer risk,9,8,pollution,contaminated soil,,general,0
,741,singapore,https://www.straitstimes.com/world/united-states/vaping-may-raise-cancer-risk-study,Vaping may raise cancer risk: Study,8,7,vaping,e-cigarettes and vaping,,general,1
,742,singapore,https://www.todayonline.com/daily-focus/health/when-tell-daughters-about-genetic-breast-cancer-risk,When to tell daughters about a genetic breast cancer risk,9,8,genetic,genetic variants and mutations,,breast cancer,0
,743,singapore,https://www.straitstimes.com/world/europe/who-e-cigarettes-smoke-free-products-dont-help-reduce-cancer,"WHO: E-cigarettes, 'smoke-free' products don't help reduce cancer",8,7,e-cigarettes smoke-free products,e-cigarettes and vaping,,general,0
,744,singapore,https://www.businessinsider.sg/whole-foods-packaging-toxic-chemical-cancer-2018-12/,Whole Foods packaging contained little-known chemicals linked to cancer until a report called them out. Here’s how to protect yourself,9,8,chemicals,PFAS in packagings,,general,1
,745,singapore,https://www.businessinsider.sg/allergan-recall-what-its-like-having-cancer-linked-breast-implants-2019-9/,Women share what it’s like to have ‘ticking time bomb’ breast implants that have been linked to cancer,9,8,breast implants,textured breast implants,women,general,0
,746,singapore,http://theindependent.sg/years-later-cancer-cases-linger-over-9-11-anniversary/,"Years later, cancer cases linger over 9/11 anniversary",9,8,9/11,building catastrophes,,general,0
,747,tt,https://newsday.co.tt/2017/10/22/black-women-at-high-risk-for-breast-cancer/,Black women at high risk for breast cancer,9,8,black women,ethnicity,,breast cancer,0
,749,tt,http://www.looptt.com/content/guyana-bans-chinese-cockset-over-cancer-concerns,Guyana bans mosquito coil over cancer risk,9,8,mosquioto coil,Chinese-made mosquioto coil,,general,0
,750,tt,https://newsday.co.tt/2019/06/06/health-ministry-monitoring-international-reports-weedkiller-link-to-cancer/,"Health Ministry monitoring international reports, weedkiller link to cancer",9,8,weedkiller,glyphosate from RoundUp,,general,0
,751,tt,http://www.looptt.com/content/utt-study-confirms-high-cancer-risk-gulf-paria-fish,UTT study confirms high cancer risk in Gulf of Paria fish,10,9,Gulf of Paria fish,fish from Gulf of Paria,,general,1
,753,uk,https://metro.co.uk/2018/11/05/clear-link-between-mobile-phone-radiation-and-cancer-in-new-study-8105691/,‘Clear link’ between mobile phone radiation and cancer in new study,10,9,mobile phone radiation,cellphones,,general,1
,754,uk,https://www.telegraph.co.uk/news/2018/04/25/fake-news-leaves-half-people-thinking-stress-causes-cancer/,‘Fake news’ leaves half of people thinking stress causes cancer,5,5,stress,stress,,general,1
,755,uk,https://www.bbc.com/news/health-46102193,Early risers have lower breast cancer risk,2,2,early risers,early rising,,breast cancer,1
,756,uk,https://metro.co.uk/2019/03/20/hot-tea-linked-90-increased-risk-cancer-new-study-warns-8953377/,"‘Very hot’ tea linked to 90% increased risk of cancer, new study warns",9,8,very hot tea,hot drinks,,general,1
,760,uk,https://www.dailymail.co.uk/health/article-6633359/2-MILLION-people-exposed-cancer-causing-chemicals-contaminated-blood-pressure-drugs.html,2 MILLION exposed to cancer-causing chemicals in blood pressure drugs,9,8,blood pressure drugs,contaminated heart drugs,,general,0
,762,uk,https://www.thesun.co.uk/living/2857597/500000-women-at-higher-risk-of-cancer-denied-6p-prevention-pill-because-gps-arent-clued-up-on-latest-research/,500k women at higher cancer risk denied 6p prevention pill because GPs aren't up to date on research,2,2,6p prevention pill,tamoxifen,women,general,1
,763,uk,https://www.express.co.uk/news/weird/1124956/5g-mobile-phone-4g-cancer-health-risk-conspiracy-theory,5G could cause CANCER and HEART DISEASE - shock claim emerges,8,7,5G,5G,,general,0
,765,uk,https://www.telegraph.co.uk/news/2019/03/28/bottle-wine-could-increase-womens-cancer-risk-much-smoking-10/,A bottle of wine a week could increase women’s cancer risk as much as smoking 10 cigarettes,9,8,wine,alcohol,women,general,1
,765,uk,https://www.telegraph.co.uk/news/2019/03/28/bottle-wine-could-increase-womens-cancer-risk-much-smoking-10/,A bottle of wine a week could increase women’s cancer risk as much as smoking 10 cigarettes,9,8,smoking,smoking,women,general,1
,766,uk,https://www.standard.co.uk/lifestyle/health/alcohol-wine-cancer-risk-equivalent-smoking-cigarettes-study-a4102956.html,Bottle of wine a week has same cancer risk as 10 cigarettes for women,9,8,wine,alcohol,women,general,1
,766,uk,https://www.standard.co.uk/lifestyle/health/alcohol-wine-cancer-risk-equivalent-smoking-cigarettes-study-a4102956.html,Bottle of wine a week has same cancer risk as 10 cigarettes for women,9,8,cigarettes,smoking,women,general,1
,768,uk,https://www.dailymail.co.uk/health/article-6729977/A-diet-rich-grains-slashes-risk-liver-cancer-40-study-finds.html,A diet rich in whole grains slashes risk of liver cancer by 40%,2,2,whole grains,whole grains,,liver cancer,1
,769,uk,https://www.express.co.uk/life-style/health/907120/cancer-news-breakthrough-gum-bleeding-deadly-illnesses-dentists-oral-hygiene-periodontitis,Brushing your teeth 'can PROTECT against cancer by lowering bleeding gums risk',3,3,brushing teeth,brushing teeth,,general,1
,770,uk,https://www.bbc.com/news/health-47947965,A rasher of bacon 'ups cancer risk',9,8,rasher of bacon,red and processed meats,,general,1
,771,uk,https://www.theguardian.com/science/2017/oct/31/acid-reflux-drug-linked-to-more-than-doubled-risk-of-stomach-cancer-study,Acid reflux drug linked to more than doubled risk of stomach cancer – study,9,8,acid reflux drug,acid reflux drugs,,stomach cancer,1
,772,uk,https://www.independent.co.uk/news/science/proton-pump-inhibitors-acid-reflux-drug-rsaise-risk-of-stomach-cancer-indigestion-a8037206.html,Acid reflux pills 'raise risk of stomach cancer',9,8,acid reflux pills,acid reflux drugs,,stomach cancer,1
,773,uk,https://www.dailymail.co.uk/health/article-5039903/Acid-reflux-drugs-double-risk-stomach-cancer.html,Acid reflux drugs could double your risk of stomach cancer,8,7,acid reflux drugs,acid reflux drugs,,stomach cancer,1
,774,uk,https://www.dailymail.co.uk/news/article-5037371/Acid-reflux-pills-raise-risk-cancer-eight-fold.html,Acid reflux pills 'raise risk of stomach cancer by eight-fold',9,8,acid reflux drugs,acid reflux drugs,,stomach cancer,1
,775,uk,https://www.dailymail.co.uk/health/article-5202611/Acid-reflux-ups-risk-throat-tonsils-sinus-cancer.html,"Acid reflux raises risk of throat, tonsils and sinus cancer in elderly",9,8,acid reflux,acid reflux,,"throat cancer, tonsil cancer, sinus cancer",1
,776,uk,https://www.thesun.co.uk/news/9251299/desperate-housewives-marcia-cross-anal-cancer-husband/,Marcia Cross' cancer likely caused by virus that caused husband's cancer,8,7,virus,HPV,,general,0
,777,uk,https://www.independent.co.uk/news/science/toothpaste-additive-e171-titanium-dioxide-food-products-cancer-cause-scientists-a7541956.html,Scientists think a common ingredient in toothpaste could cause cancer,8,7,common ingredient in toothpaste,titanium dioxide from toothpaste,,general,1
,778,uk,https://www.thesun.co.uk/living/2688153/after-barmy-official-cancer-warning-top-food-writer-leads-sun-bid-to-save-chips-and-all-our-home-cooked-food/,"After barmy official cancer warning, top food writer leads Sun bid to save chips",5,5,chips,burning or grilling food,,general,0
,779,uk,https://www.bbc.com/news/uk-scotland-tayside-central-42957607,Ageing immune system linked to cancer,9,8,ageing immune system,age,,general,1
,780,uk,https://www.thesun.co.uk/living/3563501/agonising-womb-condition-that-affects-two-million-could-trigger-cancer/,Agonising womb condition that affects two million could 'trigger cancer',8,7,womb condition,endometriosis,,general,1
,781,uk,https://www.theguardian.com/environment/2018/oct/09/air-pollution-linked-to-greater-risk-of-mouth-cancer-finds-study,"Air pollution linked to greater risk of mouth cancer, finds study",9,8,air pollution,air pollution,,mouth cancer,1
,782,uk,https://www.thetimes.co.uk/article/air-pollution-linked-to-higher-mouth-cancer-risk-7nf8fsfdn,Air pollution linked to higher mouth cancer risk,9,8,air pollution,air pollution,,general,1
,783,uk,https://www.dailymail.co.uk/health/article-5040229/Air-pollution-linked-kidney-bladder-bowel-cancer.html,"Air pollution linked to kidney, bladder and bowel cancer",9,8,air pollution,air pollution,,"kidney cancer, bladder cancer, bowel cancer",1
,784,uk,https://www.theguardian.com/environment/2019/nov/13/air-pollution-particles-linked-to-brain-cancer-in-new-research,Air pollution nanoparticles linked to brain cancer for first time,9,8,air pollution nanoparticles,air pollution,,brain cancer,1
,785,uk,https://www.express.co.uk/news/world/979543/cabin-crew-health-risks-airline-crews-flight-attendants-cancer,Airline crews at greater risk of cancer says study,9,8,airline crews,high-altitude flights,,general,1
,786,uk,https://metro.co.uk/2018/05/24/really-need-cut-back-booze-bacon-lower-risk-cancer-7573324/,You really do need to cut back on booze and bacon to lower your risk of cancer,9,8,booze,alcohol,,general,0
,786,uk,https://metro.co.uk/2018/05/24/really-need-cut-back-booze-bacon-lower-risk-cancer-7573324/,You really do need to cut back on booze and bacon to lower your risk of cancer,9,8,bacon,red and processed meats,,general,1
,787,uk,https://www.theguardian.com/society/2017/dec/06/all-forms-of-hormonal-contraception-carry-breast-cancer-risk-study-finds,"All forms of hormonal contraception carry breast cancer risk, study finds",9,8,all forms of hormonal contraception,HRT and contraception drugs,,breast cancer,1
,792,uk,https://www.thesun.co.uk/news/6235520/cancer-causing-virus-sexually-transmitted-leukaemia-australia/,Ancient cancer-causing virus that's sexually transmitted is surging in parts of Australia,9,8,ancient virus,HTLV-1,,general,1
,793,uk,https://www.dailymail.co.uk/health/article-6548221/Aurobindo-Pharma-recall-80-lots-blood-pressure-medicine-valsartan-US.html,Blood pressure drugs recalled over traces of cancer-causing chemical,9,8,blood pressure drugs,contaminated heart drugs,,general,0
,795,uk,https://www.bbc.com/news/health-39495192,Antibiotic link to 'cancer precursor',8,7,antibiotic,antibiotics overuse,,general,1
,796,uk,https://www.thesun.co.uk/news/9762095/antibiotics-could-increase-your-risk-of-bowel-cancer-experts-warn/,"Antibiotics could increase your risk of bowel cancer, experts warn",8,7,antibiotics,antibiotics overuse,,bowel cancer,1
,797,uk,https://www.theguardian.com/society/2017/apr/05/antibiotics-overuse-could-increase-bowel-cancer-risk-study-finds,"Antibiotics overuse could increase bowel cancer risk, study finds",8,7,antibiotics overuse,antibiotics overuse,,bowel cancer,1
,798,uk,https://www.dailymail.co.uk/health/article-4884756/Apple-shaped-women-risk-deadlier-breast-cancer.html,Apple-shaped women at risk of a deadlier breast cancer,9,8,apple-shaped women,body shape,women,breast cancer,1
,799,uk,https://www.independent.co.uk/life-style/health-and-families/apple-shaped-women-breast-cancer-deadly-form-risk-study-health-body-a7948206.html,Women with this body shape are more at risk of a deadlier form of br…,9,8,this body shape,body shape,women,general,1
,800,uk,https://in.mashable.com/tech/6135/apple-samsung-sued-over-alleged-cancer-causing-rf-radiation-from-smartphones,"Apple, Samsung Sued Over Alleged Cancer-Causing RF Radiation From Smartphones",8,7,RF radiation from smartphones,cellphones,,general,0
,801,uk,https://www.dailymail.co.uk/health/article-5598539/Are-e-cigarettes-toxic-Citrus-flavours-cause-cancer-study-finds.html,Citrus e-cigarette flavours may cause cancer,8,7,citrus e-cigarette flavours,e-cigarettes and vaping,,general,1
,802,uk,https://www.thesun.co.uk/fabulous/7522732/orange-key-to-longer-life-prevents-disease-and-wrinkle/,"Are oranges the new superfruit? They help prevent 'cancer, heart disease, dementia and wrinkles'",2,2,oranges,oranges,,general,1
,803,uk,https://www.bbc.com/news/health-48939671,Are sugary drinks causing cancer?,7,6,sugary drinks,sugary and fruit drinks,,general,1
,804,uk,https://www.thetimes.co.uk/article/artificial-football-pitches-present-negligible-risk-of-cancer-jdvv6w2pb,Artificial football pitches present ‘negligible’ risk of cancer,9,8,artificial football pitches,artificial pitches,,general,0
,805,uk,https://www.dailymail.co.uk/health/article-7135111/At-21-cereals-contain-cancer-linked-weed-killing-chemical-study-reveals.html,At least 21 cereals contain a cancer-linked weed-killing chemical,9,8,weed-killing chemical,glyphosate from Roundup,,general,1
,806,uk,https://www.theguardian.com/australia-news/2019/jul/11/australian-ban-on-textured-breast-implants-recommended-over-apparent-cancer-link,Australian ban on textured breast implants recommended over apparent cancer link,8,7,textured breast implants,textured breast implants,,general,0
,807,uk,https://www.dailymail.co.uk/news/article-7205765/Austrian-parliament-backs-EUs-total-ban-weedkiller-glyphosate.html,Austrian parliament backs ban of 'cancer-causing' weedkiller,9,8,weedkiller,glyphosate from Roundup,,general,0
,808,uk,https://www.thesun.co.uk/money/3588702/avon-sun-cream-puts-consumers-at-risk-of-skin-cancer-as-it-fails-to-offer-spf-protection-advertised-on-bottle/,Avon sun cream puts users at risk of skin cancer 'as it fails to offer SPF protection advertised',9,8,Avon sun cream,Avon sun cream,,general,1
,809,uk,https://www.thesun.co.uk/news/9514885/babies-cancer-risk-toxins-household-items/,"Babies at risk from toxins linked to cancer found in household items, MPs warn",9,8,toxins in household items,flame retardants in furniture,,general,0
,810,uk,https://www.express.co.uk/life-style/life/758414/baby-food-cancer-link,Baby food linked to cancer risk chemical that may cause tumours,8,7,baby food,acrylamide from baby foods,,general,1
,811,uk,https://news.sky.com/story/bacon-back-on-the-menu-as-researchers-say-cancer-link-is-weak-11823951,Bacon back on the menu as researchers say cancer link is weak,5,5,bacon,red and processed meats,,general,1
,812,uk,https://www.theguardian.com/society/2018/dec/25/bacon-cancer-link-head-of-un-agency-at-heart-of-furore-defends-its-work,Bacon-cancer link: head of UN agency at heart of furore defends its work,9,8,bacon,red and processed meats,,general,0
,813,uk,https://www.dailymail.co.uk/health/article-7608285/Baker-29-claims-Pill-caused-six-inch-TUMOUR-grow-liver.html,"Baker, 25, claims Pill caused six-inch TUMOUR to grow in her liver",9,8,pill,HRT and contraception drugs,,liver cancer,0
,814,uk,https://www.independent.co.uk/news/business/news/bayer-shares-fall-roundup-weedkiller-cancer-court-ruling-a8832196.html,Bayer shares tumble after court finds that Roundup caused cancer,9,8,Roundup,glyphosate from Roundup,,general,0
,815,uk,https://www.thesun.co.uk/news/9692444/being-fat-almost-likely-smoking-cause-cancer-research/,"Being fat almost as likely as smoking to cause cancer, research reveals",9,8,being fat,obesity,,general,1
,815,uk,https://www.thesun.co.uk/news/9692444/being-fat-almost-likely-smoking-cause-cancer-research/,"Being fat almost as likely as smoking to cause cancer, research reveals",9,8,smoking,smoking,,general,1
,816,uk,https://www.dailymail.co.uk/health/article-5870097/Being-underweight-INCREASES-risk-breast-cancer-pre-menopausal-women-study-finds.html,Being underweight INCREASES the risk of breast cancer in young women,9,8,underweight,underweight,women,breast cancer,1
,817,uk,https://www.express.co.uk/life-style/health/845722/belly-fat-cancer-symptoms-protein-weight-loss,THIS sort of belly fat can increase likelihood of cancer - are you at risk?,9,8,this sort of belly fat,body shape,,general,1
,818,uk,https://www.dailymail.co.uk/health/article-6882293/Beware-SPF-moisturisers-Creams-not-protect-against-skin-cancer-sunscreen.html,SPF moisturisers do not protect against cancer as well as sunscreen,4.5,,SPF moisturisers,SPF moisturisers,,general,1
,819,uk,https://www.thesun.co.uk/tvandshowbiz/10056241/beyonce-tested-for-breast-cancer-mathew-knowles-diagnosis/,Beyonce tested for breast cancer gene after dad Mathew Knowles' diagnosis,9,8,gene,genetic variants and mutations,,breast cancer,0
,820,uk,https://www.huffingtonpost.co.uk/entry/binge-watching-tv-could-raise-bowel-cancer-risk-in-men_uk_5aa1675ee4b002df2c61ed48,Binge-Watching TV Could Raise Bowel Cancer Risk In Men,8,7,binge-watching TV,inactivity,men,bowel cancer,1
,821,uk,https://www.thesun.co.uk/news/8361927/television-bowel-cancer-risk/,Binge watching TV series raises the risk of bowel cancer — even for those who are slim and active,9,8,binge watching TV,inactivity,,bowel cancer,1
,822,uk,https://www.thesun.co.uk/fabulous/10444160/bum-sunning-ritual-skin-cancer-risk-vulva/,"Bizarre 'bum sunning' ritual increases risk of skin cancer on your vulva, top doc warns",9,8,bum sunning,sun exposure,,general,0
,823,uk,https://www.dailymail.co.uk/health/article-4589916/Black-women-increase-risk-breast-cancer-drinking.html,Black women increase their risk of breast cancer by drinking,9,8,drinking,alcohol,women,breast cancer,1
,824,uk,https://www.thetimes.co.uk/article/blood-pressure-drugs-linked-to-raised-risk-of-lung-cancer-3bg8pk5vr,Blood pressure drugs linked to raised risk of lung cancer,9,8,blood pressure drugs,ACE inhibitor drugs,,lung cancer,1
,826,uk,https://www.dailymail.co.uk/health/article-6160013/Blood-pressure-pills-recalled-worldwide-does-NOT-boost-risk-cancer.html,Recalled blood pressure drug does NOT increase a person's cancer risk,5,5,blood pressure drug,contaminated heart drugs,,general,1
,827,uk,https://www.telegraph.co.uk/science/2018/10/25/blood-pressure-pills-taken-millions-may-raise-risk-lung-cancer/,"Blood pressure pills taken by millions may raise risk of lung cancer, study suggests",8,7,blood pressure pills,ACE inhibitor drugs,,general,1
,828,uk,https://www.express.co.uk/life-style/health/821318/blood-type-group-disease-cancer-positive-negative,Do you know YOUR blood type? Group could increase risk of THESE diseases,8,7,blood type,particular blood type,,general,1
,831,uk,https://www.express.co.uk/life-style/health/825552/Bowel-cancer-Western-high-fat-red-meat-diet-tumours,Bowel cancer warning: Western high fat diet 'causes tumours to grow',9,8,western high fat,high-fat diet,,bowel cancer,1
,837,uk,https://www.express.co.uk/life-style/health/1004148/bowel-cancer-diet-symptoms-signs-broccoli,Bowel cancer - the 50p ‘striking’ vegetable that could prevent deadly disease,1,1,striking vegetable,broccoli,,bowel cancer,1
,837,uk,https://www.express.co.uk/life-style/health/1004148/bowel-cancer-diet-symptoms-signs-broccoli,Bowel cancer - the 50p ‘striking’ vegetable that could prevent deadly disease,1,1,striking vegetable,fruits and vegetables,,bowel cancer,1
,838,uk,https://www.express.co.uk/life-style/health/788081/bowel-cancer-disease-symptoms-link-antibiotics-long-term-use,Antibiotics could give YOU bowel cancer: Taking pills 'increases risk' of DEADLY disease,8,7,antibiotics,antibiotics overuse,,bowel cancer,1
,840,uk,https://www.express.co.uk/life-style/health/857621/Diet-Healthy-living-food-cancer-health,Bowel cancer risk SLASHED by eating POTATOES - rainbow vegetables could be diet cure,3,3,potatoes,potatoes,,bowel cancer,1
,846,uk,https://www.express.co.uk/life-style/health/903433/Bowel-cancer-symptoms-cure-Broccoli-yoghurt,Bowel cancer: Broccoli-based yoghurt 'could prevent and even cure the disease',3,3,broccoli,broccoli,,bowel cancer,1
